,"﻿""osmid""",name,amenity,emergency,geological,historic,leisure,man_made,office,shop,sport,tourism,craft,Longitude,Latitude
4650402,2909483519,Bistro,cafe,,,,,,,,,,,10.1110416,46.7696069
4650403,2909483520,Da Taki,restaurant,,,,,,,,,,,10.3040417,46.7984744
4650404,2909492760,Al Verde,restaurant,,,,,,,,,,,9.3301492,45.9294302
4650450,2909539129,La Pergola,restaurant,,,,,,,,,,,9.0716253,45.8381387
4650462,2909552801,d'Este,driving_school,,,,,,,,,,,9.070952,45.838395
4650463,2909552901,in centro,restaurant,,,,,,,,,,,9.0718912,45.838319
4651024,2910128865,Löwen,restaurant,,,,,,,,,hotel,,10.2858468,47.5389562
4651074,2910139983,Zum Neubau,restaurant,,,,,,,,,,,9.9130746,47.7573238
4651176,2910269285,Vélostation Neuchâtel,bicycle_parking,,,,,,,,,,,6.9337224,46.9968205
4651583,2910740696,Lehrerzimmer,bar,,,,,,,,,,,7.4437492,46.9500736
4651638,2910833153,Säntisblick,bench,,,,,,,,,viewpoint,,8.6914859,47.7177851
4651639,2910833154,Gennersbrunnerblick,bench,,,,,,,,,,,8.6887676,47.7192303
4651871,2910996924,Naturfreundehaus,parking,,,,,,,,,,,8.812909,47.7853793
4651872,2910996925,Naturfreundehaus,parking,,,,,,,,,,,8.813668,47.7859639
4651917,2911016380,Rübis&Stübis,fast_food,,,,,,,,,,,8.5820231,47.5786109
4652076,2911098280,Alp de Comun,shelter,,,,,,,,,,,9.1965412,46.2500166
4652077,2911098285,Alp de la Piazza,shelter,,,,,,,,,,,9.1856441,46.238042
4653165,2911893538,Botschaft Katar,embassy,,,,,,,,,,,7.4410338,46.9489306
4653407,2911983428,Chinatown,restaurant,,,,,,,,,,,6.1103978,45.8939802
4653701,2912109458,Schwarzer Hecht,restaurant,,,,,,,,,,,8.4897751,47.3259
4653964,2912370485,San Lorenzo,drinking_water,,,,,,,,,,,9.469013,45.9264237
4653970,2912371414,"Berner Fachhochschule BFH - Architektur, Holz und Bau",college,,,,,,,,,,,7.2768826,47.158619
4654031,2912408219,Berner Fachhochschule BFH - Technik + Informatik,college,,,,,,,,,,,7.2439236,47.1427688
4654546,2912681759,Corpo Pompieri Maggia,fire_station,,,,,,,,,,,8.7184659,46.2377351
4654562,2912701101,Pharmacie Centrale,pharmacy,,,,,,,,,,,6.3583725,47.3509419
4654682,2912774609,Zahnarztpraxis Dr. Serry,dentist,,,,,,,,,,,9.6067907,47.7804041
4654839,2912831743,"Agriturismo ""Al Tiglio""",restaurant,,,,,,,,,,,9.9792265,46.1924736
4655185,2912999783,Adana Döner,fast_food,,,,,,,,,,,8.2802263,47.6359534
4656609,2914210025,Botschaft Brasilien,embassy,,,,,,,,,,,7.4353242,46.9409396
4656947,2914348101,Sri Sivasubramaniar Temple,place_of_worship,,,,,,,,,,,8.5246756,47.3054755
4657180,2914471418,Hallenbad Café,cafe,,,,,,,,,,,7.9931128,47.5539928
4658203,2915002846,Imbiss,fast_food,,,,,,,,,,,8.8519474,45.9672036
4658281,2915044175,Hotel Lauro,restaurant,,,,,,,,,hotel,,9.3044614,46.1470449
4658307,2915050801,Storm 22,boat_sharing,,,,,,,,,,,8.5367598,47.3579352
4658308,2915050802,YB Sober,boat_sharing,,,,,,,,,,,8.53625,47.36008
4659197,2915699487,Fontanne-Pintli,restaurant,,,,,,,,,,,8.0553896,47.0299745
4659341,2915808778,Bernau - Kultur im Quartier,social_centre;cafe,,,,,,,,,,,7.4509603,46.929344
4659354,2915808793,Evangelisch-Methodistische Kirche EMK,place_of_worship,,,,,,,,,,,7.4196478,46.8925185
4659566,2915838517,Tschingg,restaurant,,,,,,,,,,,8.5296981,47.373809
4659572,2915840754,Visitor,cafe,,,,,,,,,,,8.5235937,47.3741873
4659580,2915841802,Stadt Cafe,cafe,,,,,,,,,,,9.5890713,47.6710126
4659593,2915847505,PHO Vietnam,restaurant,,,,,,,,,,,8.5245081,47.3749645
4659607,2915853704,Di Leonardo,fast_food,,,,,,,,,,,8.5219565,47.3742591
4659718,2915897849,El Mexicano,restaurant,,,,,,,,,,,7.442347,46.948389
4659800,2915931697,am Käfigturm,theatre,,,,,,,,,,,7.4430173,46.9483259
4659849,2915947131,KFC,fast_food,,,,,,,,,,,8.8537935,47.7537855
4659855,2915951539,Sorgente Rusen,watering_place,,,,,,,,,,,9.172997,45.9993908
4661150,2916590092,Zur Alten Post,bar,,,,,,,,,,,7.6268619,47.055932
4661178,2916601107,Wirtschaft zur Metzgern,restaurant,,,,,,,,,,,7.6267176,47.0558857
4661523,2917014451,Benu,pharmacy,,,,,,,,,,,7.0769646,46.1121152
4661621,2917046566,Lindenhofkeller,restaurant,,,,,,,,,,,8.540819,47.3724638
4661692,2917101204,Blum In,restaurant,,,,,,,,,,,9.9868689,45.8917172
4661695,2917102001,Vecchia Costa d'Oro,restaurant,,,,,,,,,,,9.987422,45.8910973
4661782,2917128398,Gelateria Rolly,ice_cream,,,,,,,,,,,9.3128397,45.9380716
4661830,2917165574,Kugelbrunnen,fountain,,,,,,,,,,,8.5519182,47.3532609
4661871,2917189253,Cinzia Valsecchi,veterinary,,,,,,,,,,,9.3182841,45.9122119
4661872,2917189254,Gelateria Constantin,ice_cream,,,,,,,,,,,9.3176981,45.9119849
4661873,2917189255,Gelateria Dulcis in Fundo,ice_cream,,,,,,,,,,,9.3167221,45.9126409
4662007,2917260627,Alternative organic Bistrot,restaurant,,,,,,,,,,,8.7918942,46.1700142
4662041,2917266601,Biblioteca di Giurisprudenza,library,,,,,,,,,,,9.0758635,45.8108247
4662163,2917311401,La Pizzaccia,restaurant,,,,,,,,,,,9.0834357,45.8031188
4663073,2917627407,La Lucernetta,theatre,,,,,,,,,,,9.0858986,45.8086039
4663108,2917641418,Farmacia Arienti,pharmacy,,,,,,,,,,,9.0865271,45.802303
4663641,2917833709,École primaire Le Lion,school,,,,,,,,,,,6.0293651,46.2444073
4663657,2917840082,Wirtzhaus Walserklause,restaurant,,,,,,,,,,,9.8623414,47.2006163
4663703,2917844802,École maternelle Le Lion,school,,,,,,,,,,,6.0296502,46.244816
4663704,2917845002,École maternelle Boby Lapointe,school,,,,,,,,,,,6.027785,46.2498201
4663705,2917845003,École primaire Boby Lapointe,school,,,,,,,,,,,6.0286152,46.2495472
4663747,2917856264,trattoria Fum Diss,restaurant,,,,,,,,,,,7.9309358,45.8551689
4663750,2917856267,La Stube,restaurant,,,,,,,,,,,7.9370292,45.8545773
4663752,2917856269,Vineria,bar,,,,,,,,,,,7.9375073,45.8533542
4663753,2917856270,Dir und Don,restaurant,,,,,,,,,,,7.937574,45.8531982
4663755,2917856272,Banca Popolare di Novara,bank,,,,,,,,,,,7.9378643,45.8531608
4663756,2917856273,Griglieria,restaurant,,,,,,,,,,,7.9379917,45.8528741
4663758,2917856275,Unione Alagnese,restaurant,,,,,,,,,,,7.9367691,45.8525512
4663759,2917856276,Oratorio della Visitazione,place_of_worship,,,,,,,,,,,7.9375323,45.8511921
4663761,2917856278,Sant'Antonio da Padova,place_of_worship,,,,,,,,,,,7.9367001,45.8484947
4663765,2917856286,All'Angolo delle Alpi,pharmacy,,,,,,,,,,,7.9373613,45.8542622
4663766,2917856287,Genzianella,restaurant,,,,,,,,,,,7.936094,45.8545359
4663858,2917881221,Holly´s,restaurant,,,,,,,,,,,9.1668757,47.6712495
4664562,2918196384,Schlaraffenland,cafe,,,,,,,,,,,7.4435857,46.9492075
4664563,2918196385,Glatz,cafe,,,,,,,,,,,7.4461149,46.9475451
4664695,2918277866,Quick Asian Food,fast_food,,,,,,,,,,,7.4411197,46.9496149
4664705,2918282889,energyKitchen,cafe,,,,,,,,,,,7.4408649,46.9474178
4664706,2918282890,La Luna,restaurant,,,,,,,,,,,7.4419163,46.9478463
4664785,2918305247,Botschaft Slowenien,embassy,,,,,,,,,,,7.4395997,46.9466518
4664830,2918325842,Geldautomat Raiffeisenbank,bank,,,,,,,,,,,8.4306865,47.1417046
4664891,2918341772,Gelateria di Berna,fast_food,,,,,,,,,,,7.454263,46.960522
4665031,2918421142,Caffé Maya,cafe,,,,,,,,,,,9.0819383,45.802605
4665032,2918421143,La Pesa Trattoria Bar,bar,,,,,,,,,,,9.0820241,45.8026723
4665038,2918421149,Bar Duomo,cafe,,,,,,,,,,,9.0846595,45.8120088
4665039,2918421150,Kazan Sushi,restaurant,,,,,,,,,,,9.0845561,45.8144287
4665040,2918421151,Orlogio Ristorante Pizzeria,restaurant,,,,,,,,,,,9.084599,45.8146605
4665044,2918421155,Jean Caffé,cafe,,,,,,,,,,,9.0860204,45.811335
4665054,2918424553,Ristoran e pizzrris griglieria lerill,restaurant,,,,,,,,,,,9.0830326,45.8174347
4665055,2918424554,La Darsena Ristorante Pizzeria,restaurant,,,,,,,,,,,9.0829897,45.816829
4665056,2918424555,Molo Bar Cafeteria,cafe,,,,,,,,,,,9.0829468,45.8163804
4665057,2918424556,L'antica Riva,restaurant,,,,,,,,,,,9.0830541,45.8164028
4665058,2918424557,Fontana D'oro,restaurant,,,,,,,,,,,9.083333,45.8164926
4665059,2918424558,Centro - Lago,parking,,,,,,,,,,,9.0768909,45.8122045
4665060,2918424559,Caffé Alessandro Volta,cafe,,,,,,,,,,,9.0800285,45.8119011
4665061,2918424560,Farmacia Internazionale,pharmacy,,,,,,,,,,,9.0804791,45.8122078
4665062,2918424561,Farmacia Trimarco,pharmacy,,,,,,,,,,,9.0813589,45.8122451
4665063,2918424562,Il Cappuccino Bar Tabacchi,bar,,,,,,,,,,,9.0837193,45.8124695
4665064,2918424563,da Pietro Cafeteria Gelateria,cafe,,,,,,,,,,,9.0827966,45.8114674
4665066,2918424565,Caffé Maya,cafe,,,,,,,,,,,9.0816379,45.8115497
4665068,2918424567,Funicolare Ristorante Pizzeria,restaurant,,,,,,,,,,,9.0828609,45.8170235
4665277,2918518088,Don Guanella,social_facility,,,,,,,,,,,8.7019584,46.2473631
4665801,2918839689,Cacib,restaurant,,,,,,,,,,,6.5871501,46.5449078
4666327,2919124633,Asian Village,restaurant,,,,,,,,,,,8.3102575,47.0631756
4668200,2920192301,Asilo Nido Magnolia,kindergarten,,,,,,,,,,,9.0711107,45.812081
4668201,2920192401,I.C. Como Borgovico - Scuola dell'Infanzia Raschi,kindergarten,,,,,,,,,,,9.0714593,45.8121379
4668562,2920360131,Restaurant des Nations,restaurant,,,,,,,,,,,6.1398835,46.2210821
4668775,2920505401,Flunch,restaurant,,,,,,,,,,,7.3383121,47.7742881
4669308,2920853383,Moccasino,cafe,,,,,,,,,,,9.8171484,47.1549672
4669394,2920914347,Credit Suisse,bank,,,,,,,,,,,7.6255543,46.7592697
4669435,2920956941,Unicredit Luino,bank,,,,,,,,,,,8.7416485,46.0017026
4669611,2921108477,Post Office,post_office,,,,,,,,,,,8.2921222,46.0083608
4669617,2921110252,Circolo ARCI,bar,,,,,,,,,,,8.2913765,46.0097729
4669972,2921169133,China City,restaurant,,,,,,,,,,,8.3255468,47.4652809
4670212,2921494991,Botschaft Ungarn,embassy,,,,,,,,,,,7.4649854,46.9429866
4670254,2921525228,Bahnhof-Apotheke,pharmacy,,,,,,,,,,,8.5484968,47.3241085
4670255,2921525229,Kafi Känzig,cafe,,,,,,,,,,,8.5486712,47.3235876
4670265,2921542433,Botschaft Serbien,embassy,,,,,,,,,,,7.4604756,46.9432834
4670269,2921549179,Konsulat Serbien,embassy,,,,,,,,,,,7.4604765,46.9431047
4670312,2921563814,Konsulat Rumänien,embassy,,,,,,,,,,,7.4630548,46.9416806
4670339,2921570349,Botschaft Rumänien,embassy,,,,,,,,,,,7.456536,46.9401323
4670532,2921686896,Botschaft Dänemark,embassy,,,,,,,,,,,7.4633934,46.9414298
4670617,2921708483,Steakhouse Argentina,restaurant,,,,,,,,,,,8.7181573,47.3450318
4670998,2921840169,Al Camino,restaurant,,,,,,,,,,,8.5581693,45.82921
4671162,2921982901,Crescendo,restaurant,,,,,,,,,,,7.1663155,47.7938502
4671816,2922314401,Ahmed El-Ashker,dentist,,,,,,,,,,,8.0450546,47.1353926
4671817,2922314402,Andreas Graf,doctors,,,,,,,,,,,8.1270754,47.0818855
4671818,2922314403,Frank Bieringer,doctors,,,,,,,,,,,8.0522773,47.1321903
4672329,2922943562,Colab Fribourg,coworking_space,,,,,,it,,,,,7.1546644,46.7942404
4672398,2923001958,Mundial,restaurant,,,,,,,,,,,8.5283826,47.3832908
4672727,2923284943,Waisenhausplatzbrunnen,fountain,,,,,,,,,,,7.443836,46.9486885
4672791,2923312174,Quasimodo,bar,,,,,,,,,,,7.4482057,46.9484971
4672970,2923429083,Times,restaurant,,,,,,,,,,,8.5284055,47.3836805
4673475,2923540315,BTV Bludenz,bank,,,,,,,,,,,9.821666,47.1553205
4673661,2923639357,Raiffeisen,bank,,,,,,,,,,,8.8561909,46.1489437
4673981,2923751501,Ristorante Pizzeria Alle Caverne,restaurant,,,,,,,,,,,9.0888208,45.8080642
4674269,2923882983,Vorarlberger Volksbank - Filiale Bludenz,bank,,,,,,,,,,,9.8186285,47.1567055
4674353,2923916073,Brezelkönig,fast_food,,,,,,,,,,,8.5312415,47.3647831
4674580,2924075535,Post Wettswil,post_office,,,,,,,,,,,8.472839,47.3404179
4674581,2924075536,Restaurant Mongol Barbaro,restaurant,,,,,,,,,,,8.4728269,47.3403525
4674843,2924387374,St. Anna Kapelle,place_of_worship,,,,,,,,,,,9.6762453,47.2501192
4675387,2924593640,Chianalea Ristorante Pizzeria,restaurant,,,,,,,,,,,8.5241155,47.3792517
4675506,2924606573,Post,post_office,,,,,,,,,,,8.9232903,47.3333827
4676431,2924941509,Chocova,cafe,,,,,,,confectionery,,,,9.5887195,47.6709672
4678327,2925703786,Ristorante Pizzeria Stazione Grill,restaurant,,,,,,,,,,,8.9738891,46.3512214
4678330,2925703789,Trucker 2 Bar/Steakhouse,restaurant,,,,,,,,,,,7.3985775,46.9442279
4678332,2925703925,Erdgas-Tankstelle,fuel,,,,,,,,,,,7.6097493,47.0650124
4678339,2925703956,Zanharztpraxis Frei,dentist,,,,,,,,,,,7.400117,46.9439899
4678348,2925704395,Ristorante Scaletta,restaurant,,,,,,,,,,,8.8018555,46.1721813
4678490,2925766201,Shell Service Perly,fuel,,,,,,,,,,,6.092695,46.153402
4678678,2925893293,Al Torchio,restaurant,,,,,,,,,,,8.7675225,46.155548
4678684,2925898423,Bar Kiki,bar,,,,,,,,,,,8.7674822,46.1557275
4678692,2925903220,Schmied-Stube,restaurant,,,,,,,,,,,8.2788782,47.0521005
4678698,2925912101,Chez Renato,restaurant,,,,,,,,,,,6.0940201,46.1550549
4679505,2926344413,Appunto,fast_food,,,,,,,,,,,8.3074373,47.4734405
4679568,2926388842,Petit Blue,cafe,,,,,,,,,,,8.3071923,47.4739016
4679796,2926467972,Provisorische Velostation Postbrücke,bicycle_parking,,,,,,,,,,,8.53695,47.3780071
4679836,2926482806,Züri rollt - Velostation Postbrücke,bicycle_rental,,,,,,,,,,,8.5369907,47.3779971
4680322,2926770654,Riedern Kapelle,place_of_worship,,,,,,,,,,,9.4273779,47.686646
4681144,2927415878,Friedrichs,restaurant,,,,,,,,,,,9.1672963,47.6710985
4681359,2927506401,CheBanca!,bank,,,,,,,,,,,9.086147,45.8022831
4681658,2927601733,Monastero Giardino della resurrezione,place_of_worship,,,,,,,,,,,8.3918711,45.8885951
4681706,2927618854,Casa di cura Talamoni,clinic,,,,,,,,,,,9.3907808,45.8564896
4681707,2927618855,GROM,ice_cream,,,,,,,,,,,9.3893358,45.8550525
4681862,2927665942,Pharmacie Baussand,pharmacy,,,,,,,,,,,6.5681991,46.0684863
4681876,2927673861,Bar Campo Sportivo,bar,,,,,,,,,,,9.6326129,46.2383298
4681877,2927673862,Sorgente Termale,drinking_water,,,,,,,,,,,9.5975643,46.2452574
4682179,2927792134,Seniorenheim Hof Obermatt,social_facility,,,,,,,,,,,7.6216818,47.1810098
4682420,2927936172,Foodbar,restaurant,,,,,,,,,,,8.4046199,47.409382
4682425,2927936200,Summer - Garte,restaurant,,,,,,,,,,,8.4059514,47.4083766
4682438,2927938429,Bären,restaurant,,,,,,,,,,,7.5466247,46.839577
4682575,2928051446,Rifugio il dosso,restaurant,,,,,,,,,,,8.1840961,46.1575315
4682703,2928090209,Burgerspitalbrunnen,fountain,,,,,,,,,,,7.439315,46.9479736
4682982,2928174283,Bacilus,restaurant,,,,,,,,,,,8.8950371,47.5551891
4683098,2928201583,Total ERG,fuel,,,,,,,,,,,8.6606707,45.94688
4683099,2928201584,Il Baracchino,bar,,,,,,,,,,,8.661073,45.9472232
4683282,2928365520,Sorgente,drinking_water,,,,,,,,,,,9.60027,45.8950813
4683779,2928815602,Pizza For You,restaurant,,,,,,,,,,,8.7576803,47.3052728
4683796,2928828401,Taverna antico agnello in villa nigra,restaurant,,,,,,,,,,,8.429568,45.8021159
4683799,2928828404,Navigazione Orta Omegna,ferry_terminal,,,,,,,,,,,8.4055895,45.813549
4684101,2928912601,Heitere Fahne,restaurant,,,,,,,,,,,7.4467668,46.9290405
4684353,2928988001,Gruppo Ponte Chiasso,police,,,,,,,,,,,9.0407701,45.830069
4684887,2929273601,Linde,restaurant,,,,,,,,,,,8.4382863,47.5558246
4685495,2929624453,Restaurant Cayenne,restaurant,,,,,,,,,,,8.1155222,47.1730121
4685538,2929645532,vonRoll,restaurant,,,,,,,,,,,7.4232561,46.953614
4685792,2929805344,Speiserestaurant Wiesental,restaurant,,,,,,,,,,,8.4337876,47.5590212
4686275,2930220701,ARM1(Mégane),car_sharing,,,,,,,,,,,6.8466867,47.6543466
4686319,2930249899,Brunnen Stadtwald,drinking_water,,,,,,,,,,,8.4757861,47.3679417
4686345,2930258317,Brunnen,drinking_water,,,,,,,,,,,8.46945,47.3640611
4686346,2930258844,Brunnen,drinking_water,,,,,,,,,,,8.4697056,47.3707222
4686348,2930260417,Brunnen,drinking_water,,,,,,,,,,,8.48775,47.3521639
4686350,2930260776,Brunnen,drinking_water,,,,,,,,,,,8.4853167,47.3573139
4686367,2930265958,Brunnen,drinking_water,,,,,,,,,,,8.4979347,47.345265
4686380,2930269663,Brunnen,drinking_water,,,,,,,,,,,8.5056778,47.3509417
4686390,2930278441,Brunnen,drinking_water,,,,,,,,,,,8.5041194,47.3368667
4686593,2930570695,SUBWAY,fast_food,,,,,,,,,,,7.4432134,46.9484818
4687432,2930956203,Schützengarten,restaurant,,,,,,,,,,,8.3989564,47.4056663
4687433,2930956204,Freihof il Grotto,restaurant,,,,,,,,,,,8.3996154,47.4052611
4687918,2931141601,Espansione TV,studio,,,,,,,,,,,9.0820968,45.8033237
4688512,2931534654,Glatz,cafe,,,,,,,,,,,7.437331,46.9467323
4688562,2931561942,energyKitchen,restaurant,,,,,,,,,,,7.4408462,46.9475364
4688879,2931792689,Eichholz,restaurant,,,,,,,,,,,7.4554328,46.9329733
4689363,2932271601,Imada japanische Küche,restaurant,,,,,,,,,,,8.045138,47.393232
4690294,2932732682,Calypso 2,brothel,,,,,,,,,,,8.8092425,45.9907713
4690591,2932896598,Bollywood & Pizzeria Bella Italia,restaurant,,,,,,,,,,,7.7984576,47.5671451
4692369,2934006363,Cabane des Sacy,shelter,,,,,,,,,,,7.3301305,47.3268025
4692373,2934006680,MR Institut,doctors,,,,,,,,,,,8.74234,47.1367341
4692621,2934107783,Restaurant Märtstube,restaurant,,,,,,,,,,,8.2915396,47.1679292
4692905,2934229070,Ladestation für Elektrofahrzeuge,charging_station,,,,,,,,,,,8.0447454,46.3551467
4693388,2934328301,Banca Popolare di Sondrio,bank,,,,,,,,,,,9.1283872,45.9428574
4694172,2934606420,Chiesa Christiana Evangelica,place_of_worship,,,,,,,,,,,8.7391929,45.998865
4694210,2934629304,La Vela,restaurant,,,,,,,,,,,8.661473,45.9467633
4694341,2934684951,Hotel Post,restaurant,,,,,,,,,,,10.3608029,46.9435128
4695762,2935215188,Horboden,restaurant,,,,,,,,,,,7.5605545,46.6321148
4696425,2935588287,Pane Pasta Pizza by Schellinger,cafe,,,,,,,,,,,9.7593278,47.6949179
4696426,2935588288,Landgasthof Goldenes Kreuz,restaurant,,,,,,,,,hotel,,10.0706197,47.7603608
4696451,2935619708,Kreuz,restaurant,,,,,,,,,,,9.6438509,47.6632781
4696687,2935800627,Drinking water,drinking_water,,,,,,,,,,,10.035323,45.9162421
4697103,2936048001,Rheinwaschen,car_wash,,,,,,,,,,,8.8531909,47.6525908
4697379,2936334401,La Bruschetta,restaurant,,,,,,,,,,,6.6334942,46.5171768
4697458,2936555487,Betlis / Amden,ferry_terminal,,,,,,,,,,,9.1459608,47.1343375
4698285,2937087113,Taverna di Arlecchino,restaurant,,,,,,,,,,,9.6509868,45.8820891
4698387,2937184577,Le Chariot,restaurant,,,,,,,,,,,7.4553871,46.9487672
4699594,2937984344,Osteria La Riva,pub,,,,,,,,,,,8.8193074,46.1734125
